LOCAL_PATH,FILE_SIZE,BUCKET_NAME,DESTINATION_KEY,CHECKSUM,CHECKSUM_SIZE,CHECKSUM_KEY
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00006.fit,109546560,dummy_bucket,VIDEO/20141227/v20141227_00006.fit,b'8a91db8fab8038dfd85d0bbc9a3ad7e5',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00036_st_cat.fits,5094720,dummy_bucket,VIDEO/20141227/v20141227_00036_st_cat.fits,b'12b1d29369bdbd55620a634fad11fdd3',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00026.fit,109673280,dummy_bucket,VIDEO/20141227/v20141227_00026.fit,b'e6639b8f4dea41406ac152b833d793d2',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00001.fit,109632960,dummy_bucket,VIDEO/20141227/v20141227_00001.fit,b'daf0084a3f4352f331ebb7ffb697d009',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00042.fit,109848960,dummy_bucket,VIDEO/20141227/v20141227_00042.fit,b'00684379d96d3a1e52bd1ec521a01093',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00039.fit,109860480,dummy_bucket,VIDEO/20141227/v20141227_00039.fit,b'0db7a9b40fbfcb401b5c387c84b05594',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00023.fit,109716480,dummy_bucket,VIDEO/20141227/v20141227_00023.fit,b'a63b5fc4165c15a9532dd46b0add8252',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00025.fit,109753920,dummy_bucket,VIDEO/20141227/v20141227_00025.fit,b'8abc74f1aa41860d765b349822aa284e',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00001_st.fit,86126400,dummy_bucket,VIDEO/20141227/v20141227_00001_st.fit,b'60e9b1aefc2c6a944ad6b2ad93d387d9',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00001_st_conf.fit,24004800,dummy_bucket,VIDEO/20141227/v20141227_00001_st_conf.fit,b'8ee7affdf41742bd654eb33393f1b33c',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00011.fit,109670400,dummy_bucket,VIDEO/20141227/v20141227_00011.fit,b'465b6c877c91de352e5a7bba26963014',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00004.fit,109500480,dummy_bucket,VIDEO/20141227/v20141227_00004.fit,b'22ec45107d0284ed47afce13b2134e14',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00027.fit,109687680,dummy_bucket,VIDEO/20141227/v20141227_00027.fit,b'513f4776a568d658ccd18aa9c5d4b441',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00038.fit,109938240,dummy_bucket,VIDEO/20141227/v20141227_00038.fit,b'7252cabb5f87c5a7ed8f10012c002753',,
